EventTime,EventType,Event
,AGENT_TYPE,NoiseAgent
,STARTING_CASH,10000000
2020-06-03 00:00:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2020-06-03 10:30:00.006626392,BID_DEPTH,[]
2020-06-03 10:30:00.006626392,ASK_DEPTH,[]
2020-06-03 10:30:00.006626392,IMBALANCE,"[0, 0]"
2020-06-03 10:30:00.006626392,FINAL_HOLDINGS,{ CASH: 10000000 }
2020-06-03 10:30:00.006626392,FINAL_CASH_POSITION,10000000
2020-06-03 10:30:00.006626392,MARKED_TO_MARKET,10000000
2020-06-03 10:30:00.006626392,ENDING_CASH,10000000
2020-06-03 10:30:00.006626392,FINAL_VALUATION,0.0
